Index,"('infinite_sources_0', 'v_ref_d')","('infinite_sources_0', 'v_ref_q')","('gfmi_e_0', 'p_ref')","('gfmi_e_0', 'q_ref')","('gfmi_e_0', 'v_ref')","('gfmi_e_0', 'v_dc_ref')","('gfmi_e_0', 'v_s')","('gfmi_e_0', 'i_load_ref')"
"('infinite_sources_0', 'i_bus_d')",18849.55592153876,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('infinite_sources_0', 'i_bus_q')",0.0,18849.55592153876,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_e_0', 'angle_pc')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_e_0', 'w_pc')",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_e_0', 'p_pc')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_e_0', 'q_pc')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_e_0', 'pi_vc')",0.0,0.0,0.0,0.1,10.0,0.0,0.0,0.0
"('gfmi_e_0', 'i_vsc_d')",0.0,0.0,0.0,37.69911184307752,3769.9111843077517,0.0,0.0,0.0
"('gfmi_e_0', 'i_vsc_q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_e_0', 'i_bus_d')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_e_0', 'i_bus_q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_e_0', 'v_lcl_sh_d')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_e_0', 'v_lcl_sh_q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_e_0', 'i_l_f')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_e_0', 'v_dc_f')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_e_0', 'i_dc_f')",0.0,0.0,0.0,-0.6336648584352829,-63.36648584352829,0.0,0.0,0.0
"('gfmi_e_0', 'i_load_f')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_e_0', 'x_1')",0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
"('gfmi_e_0', 'x_2')",0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
"('gfmi_e_0', 'i_L')",0.0,0.0,0.0,0.0,0.0,4750.0880922277665,3769.9111843077517,0.0
"('gfmi_e_0', 'v_dc')",0.0,0.0,0.0,0.11944301184589805,11.944301184589806,15.18993003007623,0.0,0.0
"('gfmi_e_0', 'i_load')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
"('shunt_parallel_rc_0', 'v_bus_D')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('shunt_parallel_rc_0', 'v_bus_Q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('shunt_parallel_rc_1', 'v_bus_D')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('shunt_parallel_rc_1', 'v_bus_Q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('branch_series_rl_0', 'i_br_D')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('branch_series_rl_0', 'i_br_Q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
